"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 20 11:36:34 UTC 2023","Tue Jun 20 11:36:37 UTC 2023","2890","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"skipped","Tue Jun 20 11:37:10 UTC 2023","Tue Jun 20 11:37:10 UTC 2023","1","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Tue Jun 20 11:36:24 UTC 2023","Tue Jun 20 11:36:27 UTC 2023","3059","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"skipped","Tue Jun 20 11:37:10 UTC 2023","Tue Jun 20 11:37:10 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Tue Jun 20 11:36:37 UTC 2023","Tue Jun 20 11:36:40 UTC 2023","3649","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Tue Jun 20 11:37:03 UTC 2023","Tue Jun 20 11:37:18 UTC 2023","14752","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"skipped","Tue Jun 20 11:37:10 UTC 2023","Tue Jun 20 11:37:10 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"skipped","Tue Jun 20 11:37:10 UTC 2023","Tue Jun 20 11:37:10 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"skipped","Tue Jun 20 11:37:10 UTC 2023","Tue Jun 20 11:37:10 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"skipped","Tue Jun 20 11:36:33 UTC 2023","Tue Jun 20 11:36:33 UTC 2023","5","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Tue Jun 20 11:36:27 UTC 2023","Tue Jun 20 11:36:30 UTC 2023","3295","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"skipped","Tue Jun 20 11:37:10 UTC 2023","Tue Jun 20 11:37:10 UTC 2023","1","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Tue Jun 20 11:37:18 UTC 2023","Tue Jun 20 11:37:21 UTC 2023","2373","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Tue Jun 20 11:36:05 UTC 2023","Tue Jun 20 11:36:19 UTC 2023","14162","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Tue Jun 20 11:36:40 UTC 2023","Tue Jun 20 11:37:03 UTC 2023","22809","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"skipped","Tue Jun 20 11:37:10 UTC 2023","Tue Jun 20 11:37:10 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"failed","Tue Jun 20 11:37:18 UTC 2023","Tue Jun 20 11:37:20 UTC 2023","1122","","9. Client Portal - Home","","","","1. Check links",""
"passed","Tue Jun 20 11:36:30 UTC 2023","Tue Jun 20 11:36:34 UTC 2023","3664","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"broken","Tue Jun 20 11:37:10 UTC 2023","Tue Jun 20 11:37:10 UTC 2023","3","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Tue Jun 20 11:36:20 UTC 2023","Tue Jun 20 11:36:24 UTC 2023","4065","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
